,Carrier Name,2-Char IATA,3-Char ICAO
422,Insel Air International B.V.,7I,
423,Inter Express Hava Tasimacilik A.S.,6K,INX
424,Inter Globe Aviation Private Limited,6E,
425,Inter-Aviation Services,D6,
426,InterSky Luftfahrt GmbH,3L,ISK
427,Interavia Airlines,ZA,
428,Interlink Airlines (Pty) Ltd.,ID,ITK
429,International Air Cargo Company(LoadAir),L8,
430,Interstate Airlines B.V.,I4,FWA
431,Iran Air,IR,IRA
432,Iran Aseman Airlines,EP,IRC
433,Iraqi Airways,IA,IAW
434,Island Aviation Services Ltd.,Q2,
435,Islena de Inversiones S.A. de C.V.,WC,ISV
436,Israir Airlines and Tourism Ltd.,6H,ISR
437,Ivoirienne De Transport Aerien,I3,
438,JAL Express,JC,
439,JALways Co. Ltd.,JO,JAZ
440,JET AIR Spolka z o.o.,O2,
441,"JSC ""Aircompany SCAT""",DV,
442,"JSC ""KAPO Avia""",G7,KAO
443,"JSC ""Starline.kz""",DZ,LMZ
444,Jade Cargo International Company Limited,JI,JAE
445,"Japan Airlines International Co., Ltd.",JL,JAL
446,Japan Transocean Air Co. Ltd.,NU,JTA
447,Jat  Airways,JU,JAT
448,Jet 4 You,8J,
449,Jet Airways (India) Limited,9W,JAI
450,Jet Airways Inc.,QJ,
451,Jet Aviation Business Jets AG,PP,PJS
452,Jet Link Express Ltd.,J0,
453,Jet Lite (India) Limited,S2,
454,Jet2.com Limited,LS,EXS
455,JetClub AG,0J,JCS
456,"JetX ehf, (Primera Air)",GX,JXX
457,Jetstar Asia Airways Pte Ltd,3K,JSA
458,Jetstar Pacific Airlines,BL,PIC
459,Jett8 Airlines Cargo Pte Ltd.,JX,
460,Job Air s.r.o.,3B,JBR
461,"Joint Stock Company "" Air Company",DW,UCR
462,"Joint Stock Company ""Omskavia"" Airlines",N3,OMS
463,"Joint Stock Company Aircompany ""Yakutia""",R3,SVL
464,Joint Stock Company SIAT (Sibaviatrans),5M,
465,"Joint- Stock Company ""Sakhalinskie",HZ,SHU
466,Jordan Aviation,R5,JAV
467,Jordan International Air Cargo,J4,
468,Jubba Airways,6J,JUB
469,"Juneyao Airlines Co,. Ltd.",HO,DKH
470,K-Mile Air Co. Ltd,8K,KMI
471,KD Avia Open Joint Stock Company,KD,KNI
472,KLM Cityhopper,WA,KLC
473,KLM Royal Dutch Airlines,KL,KLM
474,"Kalitta Air, LLC",K4,
475,"Kalitta Charters II, LLC",CB,KFS
476,Kam Air,RQ,KMF
477,Kampuchea Airlines,E2,KMP
478,"Kenosha Aero, Inc. dba Alliance Airlines",3A,AFJ
479,Kenya Airways,KQ,KQA
480,Key Lime Air Corporation,KG,LYM
481,Kibris Turk Hava Yollari,YK,KYV
482,Kingfisher Airlines Limited,IT,
483,Kish Airlines,Y9,IRK
484,"Kitty Hawk Aircargo, Inc.",KR,KHA
485,Korean Air Lines Co. Ltd.,KE,KAL
486,Kunming Airlines,KY,
487,"Kunpeng Airlines Co., Ltd",VD,
488,Kuwait Airways,KU,KAC
489,Kuzu Airlines Cargo,GO,KZU
490,L.A.B. Flying Service Inc.,JF,LAB
491,LAM - Linhas Aereas de Mocambique,TM,LAM
492,LIAT (1974) Ltd.,LI,LIA
493,LOT - Polish Airlines,LO,LOT
494,LTE International Airways S.A.,XO,LTE
495,LTU International Airways,LT,LTU
496,Labrador Airways Limited,WJ,LAL
497,Lagun Air,N7,
498,Lan Airlines S.A.,LA,LAN
499,Lan Chile Cargo S.A.,UC,LCO
500,Lan Ecuador - Aerolane Lineas Aereas,XL,
501,Lan Peru S.A.,LP,LPE
502,LankAir Private Limited,IL,
503,Lao Airlines,QV,LAO
504,"Laparkan Airways, Inc.",LE,
505,Lauda Air Luftfahrt AG,NG,LDA
506,Libyan Airlines,LN,LAA
507,Lignes Aeriennes Congolaises,4V,
508,Limited Liability Company,7D,UDC
509,Linea Aerea Carguera de Colombia S.A.,L7,
510,Linea Aerea de Servicio Ejecutivo,QL,LER
511,Lineas Aereas Costarricenses S.A.,LR,LRC
512,Linkair Express S.p.A,6M,
513,Livingston S.p.A.,LM,LVG
514,Lucky Air Co. Ltd.,8L,
515,Lufthansa Cargo AG,LH,GEC
516,Lufthansa CityLine GmbH,CL,CLH
517,Lufttransport AS,L5,
518,Luxair,LG,LGL
519,Lviv Airlines,5V,UKW
520,"Lynden Air Cargo, LLC",L2,
521,MDLR Airlines Pvt. Ltd.,9Y,
522,MIAT - Mongolian Airlines,OM,MGL
523,MK Airlines Limited,7G,MKA
524,MN Airlines LLC,SY,SCX
525,MNG Airlines Cargo,MB,MNB
526,MR Lines,XV,
527,MYAIR.com,8I,
528,Macair Jet S.A.,VM,
529,Macedonian Airlnes,IN,MAK
530,Mahan Airlines,W5,IRM
531,Malaysia  Airline System Berhad,MH,MAS
532,Malev Hungarian Airlines  Limited,MA,MAH
533,Mandarin Airlines Ltd.,AE,MDA
534,Martinair Holland N.V.,MP,MPH
535,Mauritania Airways,YD,MTW
536,Maximus Air Cargo,,MXU
537,Med View Airlines (NIG) Ltd.,VL,
538,Mediterranean Aviation Company Ltd.,N5,MDM
539,"Mercury Air Cargo, Inc.",4X,
540,Meridiana African Airlines (U) Limited,U7,
541,Meridiana S.p.A.,IG,ISS
542,Merpati Nusantara Airlines,MZ,MNA
543,"Mesa Airlines, Inc.",YV,ASH
544,Mesaba Aviation Inc.,XJ,MES
545,Mid Asia Airlines Limited,BH,
546,Middle East Airlines AirLiban,ME,MEA
547,Midex Airlines,MG,
548,Midwest Airlines Inc.,YX,MEP
549,Mihin Lanka (Pvt) Ltd.,MJ,MLR
550,Mistral Air S.r.l.,7M,MSA
551,Mokulele Flight Service,MW,
552,Moldavian Airlines,2M,MDV
553,Monarch Airlines,ZB,MON
554,Montenegro Airlines,YM,MGX
555,Motor-Sich JSC,M9,
556,Mountain Air Cargo Inc.,C2,MTN
