id,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,time_signature
0q8nQ0H4ad4KYcZdrTZPux,0.379,0.32299999999999995,0.517,0.0,2,0.0748,-9.08,0,0.0341,112.09,0.63,3
51LYfjuH1xcAeXRL6DlcuO,0.782,0.5760000000000001,0.163,1.29e-05,1,0.135,-15.728,1,0.0259,91.572,0.45899999999999996,4
7pwAatBibsVc2qDa1K7VhL,0.141,0.738,0.662,0.000995,0,0.0922,-7.531000000000001,0,0.0334,129.651,0.831,4
04AdxrFE3nRY5YDCBWYUUU,0.759,0.6729999999999999,0.836,0.0,0,0.11199999999999999,-4.8469999999999995,0,0.0509,93.376,0.946,4
5PCkGVUctXDHAA0kxaZNLZ,0.65,0.486,0.342,3.229999999999999e-05,8,0.0996,-9.904,0,0.0496,160.725,0.54,3
4URcCVFgWv9cWZxgjhveFj,0.499,0.551,0.626,0.0,1,0.13,-12.287,1,0.0561,145.31,0.75,4
2YiosLGTH36lIBx6y4qdLi,0.847,0.688,0.22399999999999998,6.56e-05,9,0.3,-13.569,1,0.0466,123.45200000000001,0.522,3
26cEhbLg1r6Q49wAbZxE9F,0.588,0.637,0.759,0.0207,8,0.078,-13.635,1,0.05,154.83100000000002,0.883,4
09oiaSiCYT22XVINMWNpu0,0.146,0.6579999999999999,0.59,9.66e-05,1,0.128,-6.92,1,0.0278,113.102,0.863,4
6DfQ5isWcsabpShWiMhBpP,0.442,0.912,0.6459999999999999,2.2800000000000002e-05,2,0.0612,-5.932,1,0.0398,122.167,0.9620000000000001,4
2bTx3OevanlUx7beo8YJsN,0.705,0.44,0.445,1.27e-06,1,0.39299999999999996,-10.312999999999999,1,0.0285,93.32,0.6809999999999999,4
7ggOcfcCbyX8IWIWPEdT1x,0.409,0.7340000000000001,0.47700000000000004,0.000662,6,0.0768,-10.822000000000001,1,0.0485,145.188,0.9390000000000001,4
5e5vU8SzgEWmRsEaQWD3c3,0.226,0.634,0.557,0.0,5,0.13,-9.046,1,0.0404,123.491,0.888,4
6PgVDY8GTkxF3GmhVGPzoB,0.196,0.8029999999999999,0.33799999999999997,0.038,6,0.09699999999999999,-14.029000000000002,1,0.0349,106.84100000000001,0.912,4
1yjZ6HSgseN84hl4zwzwsg,0.6809999999999999,0.519,0.706,0.0,9,0.716,-10.534,0,0.0452,110.96,0.7979999999999999,4
69tazYhwD0fazUKdjWb3Y0,0.708,0.616,0.5,0.0,7,0.40700000000000003,-9.119,0,0.0526,128.85299999999998,0.6859999999999999,4
3RkXZsc46tK0Q5rSKSVNvP,0.111,0.6779999999999999,0.573,0.00905,5,0.17300000000000001,-11.258,1,0.0402,119.777,0.898,4
4shFFsEAF1j6RcI42EeNS8,0.774,0.5489999999999999,0.57,0.000669,2,0.18899999999999997,-8.809,1,0.0316,76.906,0.508,4
2BS8TsYnXlFwyzCO0IAywv,0.818,0.37200000000000005,0.3,0.0,5,0.161,-11.52,1,0.0354,143.054,0.379,4
1Yb0EVBnEFYCCe55MIbfDd,0.623,0.778,0.6729999999999999,6.07e-06,5,0.17800000000000002,-7.731,0,0.049,123.40899999999999,0.893,4
2KVOEdNDWrMfc5AlMEF0lm,0.435,0.511,0.644,5.31e-06,5,0.264,-7.662999999999999,0,0.032,93.402,0.731,4
3VbtM3q2ApDM0OMiH6LOKp,0.7340000000000001,0.6559999999999999,0.584,0.0,6,0.0637,-7.937,0,0.0312,98.795,0.84,4
6xbnIuOn9QRTgSlhqa24vS,0.885,0.629,0.387,0.0719,0,0.23600000000000002,-12.652000000000001,1,0.0306,134.001,0.828,4
30qkaj4H6ybGu0fWpo2cxb,0.605,0.409,0.46,0.0,8,0.0973,-7.093999999999999,1,0.035,155.641,0.494,3
0O56PNHVqE6C6IMRLmqmtu,0.629,0.461,0.596,0.0,6,0.53,-8.146,0,0.0802,115.609,0.642,4
3WdyYmUWkinWrxudSucNMn,0.341,0.503,0.251,2.24e-05,9,0.511,-11.052,1,0.026000000000000002,81.786,0.491,4
4QDK12L3s53JECMOhx3mdh,0.37200000000000005,0.43,0.5329999999999999,0.000932,4,0.284,-10.6,1,0.0366,186.05900000000003,0.574,3
5P1LPNKldJza3WEXsUntKC,0.63,0.631,0.626,0.0,7,0.675,-10.944,1,0.19399999999999998,130.13,0.8640000000000001,4
0BBOMhd14VPBMLZnD7qftw,0.214,0.58,0.6659999999999999,0.0498,7,0.35,-11.140999999999998,1,0.066,100.671,0.754,4
01d1QvvVhwazzAfN325R8L,0.872,0.7040000000000001,0.336,0.022000000000000002,4,0.0915,-18.221,1,0.0451,144.196,0.568,4
3k63RLvRgkgPGx0keOH3P6,0.349,0.46,0.389,0.0,0,0.0533,-11.603,1,0.031,123.213,0.606,4
5aZM4vvmDHfFamMpsI0kfT,0.044000000000000004,0.599,0.988,3.3e-05,7,0.177,-3.682,1,0.059000000000000004,89.25,0.9570000000000001,4
4u5GhJTTo6tl8vLkd41YeL,0.665,0.768,0.385,0.00232,10,0.0927,-12.258,1,0.0367,134.246,0.6409999999999999,4
4dGJtfJArIJTBQIUYarvE2,0.638,0.598,0.462,0.0,3,0.267,-11.026,1,0.0876,115.02600000000001,0.462,4
4PmfkBVioVTf6H9JmTa3fH,0.657,0.6679999999999999,0.568,0.00016999999999999999,0,0.38,-9.857999999999999,1,0.0266,105.906,0.9590000000000001,4
1tn4pX0Ong0JYnZUhKYLHw,0.789,0.389,0.397,0.0304,1,0.168,-10.513,1,0.031,114.61,0.39,4
6N7lr4RQozfK6K660FtKhX,0.586,0.431,0.425,0.958,7,0.127,-11.23,1,0.0281,105.046,0.41100000000000003,4
76iz9gOPd8LrQ5wAVcAOdF,0.647,0.43,0.45799999999999996,4e-06,10,0.41600000000000004,-9.67,1,0.0329,120.14299999999999,0.507,4
5kBv0Y3VJuO952i5AgNfwB,0.56,0.495,0.34299999999999997,0.0,2,0.192,-14.274000000000001,1,0.0342,94.0,0.599,3
1ZeM9GD8ek37Dcp1XGMvpa,0.7979999999999999,0.23199999999999998,0.46299999999999997,6.12e-06,1,0.107,-9.346,0,0.0342,122.73299999999999,0.32799999999999996,3
